bridge_name,state,year_failed,cause,location_text,prefailure_nbi_year,nbi_data_available,download_url,fatalities,injuries,damage_cost_usd,notes
BIN 62-A521-0.67,NY,2003,tc,Middle Creek Road Middle creek,2002,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 8684,NY,2005,pc,Grant Co. Rd. 3-14 nan,2004,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3347800,NY,2005,pc,Bridge Street Esopus Creek,2004,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2224200,NY,2005,pc,Balace Road Rondout Creek NY,2004,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3347020,NY,2005,pc,Gossoo Road Bushnellsville Creek,2004,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1068010,NY,1993,pc,"NY481 Town of Clay, Onondaga Co Mud Creek",1992,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1016190,NY,1994,pc,20 A 20A42031057 Beards Creek,1993,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 36-SR114-03.23,NY,1995,tc,SR 114 Tennessee River,1994,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3330,NY,1995,pc,"South Bridge, Auburn-Lewiston Androscoggin River",1994,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2187,NY,1996,pc,Norridgewock - Covered Br. Kennebec River,1995,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 1671,NY,1997,pc,N.M. 18 Rio Grande,1996,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA69084,NY,1998,tc,"Hogfoot Raod, Tate Co. Hoover Branch",1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA32056,NY,1999,tc,"Goza Road, Jefferson Co. Mason Branch",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA27006,NY,1999,pc,"FAS 1636, Humphreys Co. Panther Cr.",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA27-6,NY,1999,pc,"FAS 1636, Humphreys Co. Panther Creek",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3338830,NY,2001,pc,Military Road Mill Creek,2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA77-85,NY,2002,tc,"Woodward Switch Road, Wayne Co. Chickasawhay River",2001,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 19-I40-15.16,NY,2003,tc,Middle Creek Road Monroe County Middle Creek,2002,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 2261160,NY,2001,pc,"Sagg Road, Suffolk L. I. R.R. Montauk B",2000,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3346460,NY,1994,tc,Sheely Road Sundown Creek,1993,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 18907,NY,1995,scour,CR 134 Adamson Creek,1994,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 08-17,NY,1995,scour,Clay Co. Sycamore Creek,1994,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA36-80,NY,1997,tc,"Denmark Road, Lafayette Co. Little Kettle Ck",1996,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3332120,NY,1997,pc,Hall Road Hooker Creek,1996,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA36080,NY,1997,tc,"Denmark Road, Lafayette Co. Little Kettle Cr.",1996,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA69-84,NY,1998,tc,"Hogfoot Road, Tate Co. Hoover Branch",1997,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA15-187,NY,1999,tc,"Rockport Road, Copiah Co. Pearl River",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN SA66-33,NY,1999,tc,"Old Highway 26, Stone Co. Kirby Creek",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 3305130,NY,1999,pc,"County Home Br. Rd., Warren Co. Schroon River",1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
BIN 49B08,NY,1999,tc,N. Main St.in Heppner Hinton Creek,1998,yes,,0,0,0.0,Ingested from NYDOT/Scour Database
